figures	canonical_dir	sweep_index	trace_file	scale_factor	robust_policy
fig21a,fig22	20251205121824_least-wait-token-mul-bs_sc5.6-toC-cpsize4096-u0.9-qwen30b	0	qwen_traceA_blksz_16.jsonl	5.6	lmetric-q
fig22	20251206123955_least-wait-token-mul-bs-fix_sc6.0-toC-cpsize4096-u0.9-qwen30b	1	qwen_traceA_blksz_16.jsonl	6.0	lmetric-q
fig22	20251206114856_least-wait-token-mul-bs-fix_sc6.4-toC-cpsize4096-u0.9-qwen30b	2	qwen_traceA_blksz_16.jsonl	6.4	lmetric-q
fig22	20251206135154_least-wait-token-mul-bs-fix_sc6.8-toC-cpsize4096-u0.9-qwen30b	3	qwen_traceA_blksz_16.jsonl	6.8	lmetric-q
fig22	20251206171944_least-wait-token-mul-bs-fix_sc7.2-toC-cpsize4096-u0.9-qwen30b	4	qwen_traceA_blksz_16.jsonl	7.2	lmetric-q
fig21a,fig22	20251205114821_dynamo-deterministic_sc5.6-toC-cpsize4096-u0.9-qwen30b	10	qwen_traceA_blksz_16.jsonl	5.6	dynamo-q
fig22	20251207104919_dynamo-deterministic_sc6.0-toC-cpsize4096-u0.9-qwen30b	11	qwen_traceA_blksz_16.jsonl	6.0	dynamo-q
fig22	20251207125520_dynamo-deterministic_sc6.4-toC-cpsize4096-u0.9-qwen30b	12	qwen_traceA_blksz_16.jsonl	6.4	dynamo-q
fig22	20251207143951_dynamo-deterministic_sc6.8-toC-cpsize4096-u0.9-qwen30b	13	qwen_traceA_blksz_16.jsonl	6.8	dynamo-q
fig22	20251207163237_dynamo-deterministic_sc7.2-toC-cpsize4096-u0.9-qwen30b	14	qwen_traceA_blksz_16.jsonl	7.2	dynamo-q
fig21a	20251205124641_join-shortest-q-ttft_sc5.6-toC-cpsize4096-u0.9-qwen30b	15	qwen_traceA_blksz_16.jsonl	5.6	dynamo-decoupled-q
fig22	20251207124818_join-shortest-q-ttft_sc5.6-toC-cpsize4096-u0.9-qwen30b	15	qwen_traceA_blksz_16.jsonl	5.6	dynamo-decoupled-q
fig22	20251207111540_join-shortest-q-ttft_sc6.0-toC-cpsize4096-u0.9-qwen30b	16	qwen_traceA_blksz_16.jsonl	6.0	dynamo-decoupled-q
fig22	20251207132032_join-shortest-q-ttft_sc6.4-toC-cpsize4096-u0.9-qwen30b	17	qwen_traceA_blksz_16.jsonl	6.4	dynamo-decoupled-q
fig22	20251207150641_join-shortest-q-ttft_sc6.8-toC-cpsize4096-u0.9-qwen30b	18	qwen_traceA_blksz_16.jsonl	6.8	dynamo-decoupled-q
fig22	20251207165728_join-shortest-q-ttft_sc7.2-toC-cpsize4096-u0.9-qwen30b	19	qwen_traceA_blksz_16.jsonl	7.2	dynamo-decoupled-q
fig21a	20251205112134_bailian-impl-06_sc5.6-toC-cpsize4096-u0.9-qwen30b	25	qwen_traceA_blksz_16.jsonl	5.6	bailian-impl-q
fig22	20251210232753_bailian-impl-07-deterministic_sc5.6-toC-cpsize4096-u0.9-qwen30b-fixbailian	25	qwen_traceA_blksz_16.jsonl	5.6	bailian-impl-q
fig22	20251210235418_bailian-impl-07-deterministic_sc6.0-toC-cpsize4096-u0.9-qwen30b-fixbailian	26	qwen_traceA_blksz_16.jsonl	6.0	bailian-impl-q
fig22	20251211002044_bailian-impl-07-deterministic_sc6.4-toC-cpsize4096-u0.9-qwen30b-fixbailian	27	qwen_traceA_blksz_16.jsonl	6.4	bailian-impl-q
fig22	20251211004617_bailian-impl-07-deterministic_sc6.8-toC-cpsize4096-u0.9-qwen30b-fixbailian	28	qwen_traceA_blksz_16.jsonl	6.8	bailian-impl-q
fig22	20251211011602_bailian-impl-07-deterministic_sc7.2-toC-cpsize4096-u0.9-qwen30b-fixbailian	29	qwen_traceA_blksz_16.jsonl	7.2	bailian-impl-q
fig21a,fig22	20251205104715_join-shortest-q-weight_sc5.6-toC-cpsize4096-u0.9-qwen30b	30	qwen_traceA_blksz_16.jsonl	5.6	join-shortest-q-weight
fig22	20251207095104_join-shortest-q-weight_sc6.0-toC-cpsize4096-u0.9-qwen30b	31	qwen_traceA_blksz_16.jsonl	6.0	join-shortest-q-weight
fig22	20251207114339_join-shortest-q-weight_sc6.4-toC-cpsize4096-u0.9-qwen30b	32	qwen_traceA_blksz_16.jsonl	6.4	join-shortest-q-weight
fig22	20251208135804_join-shortest-q-weight_sc6.8-toC-cpsize4096-u0.9-qwen30b	33	qwen_traceA_blksz_16.jsonl	6.8	join-shortest-q-weight
fig22	20251208161247_join-shortest-q-weight_sc7.2-toC-cpsize4096-u0.9-qwen30b	34	qwen_traceA_blksz_16.jsonl	7.2	join-shortest-q-weight
fig21b	20251202013508_least-wait-token-mul-bs_sc5.0-toB-bs4096-u0.9	35	qwen_traceB_blksz_16.jsonl	5.5	lmetric-q
fig22	20251206234557_least-wait-token-mul-bs_sc5.5-toB-cpsize4096-u0.9-qwen7b	35	qwen_traceB_blksz_16.jsonl	5.5	lmetric-q
fig22	20251207020742_least-wait-token-mul-bs_sc6.0-toB-cpsize4096-u0.9-qwen7b	36	qwen_traceB_blksz_16.jsonl	6.0	lmetric-q
fig22	20251207042543_least-wait-token-mul-bs_sc6.5-toB-cpsize4096-u0.9-qwen7b	37	qwen_traceB_blksz_16.jsonl	6.5	lmetric-q
fig22	20251207063859_least-wait-token-mul-bs_sc7.0-toB-cpsize4096-u0.9-qwen7b	38	qwen_traceB_blksz_16.jsonl	7.0	lmetric-q
fig22	20251207085451_least-wait-token-mul-bs_sc7.5-toB-cpsize4096-u0.9-qwen7b	39	qwen_traceB_blksz_16.jsonl	7.5	lmetric-q
fig21b	20251202010733_dynamo-deterministic_sc5.0-toB-bs4096-u0.9	45	qwen_traceB_blksz_16.jsonl	5.5	dynamo-q
fig22	20251206231748_dynamo-deterministic_sc5.5-toB-cpsize4096-u0.9-qwen7b	45	qwen_traceB_blksz_16.jsonl	5.5	dynamo-q
fig22	20251207013723_dynamo-deterministic_sc6.0-toB-cpsize4096-u0.9-qwen7b	46	qwen_traceB_blksz_16.jsonl	6.0	dynamo-q
fig22	20251207035553_dynamo-deterministic_sc6.5-toB-cpsize4096-u0.9-qwen7b	47	qwen_traceB_blksz_16.jsonl	6.5	dynamo-q
fig22	20251207061240_dynamo-deterministic_sc7.0-toB-cpsize4096-u0.9-qwen7b	48	qwen_traceB_blksz_16.jsonl	7.0	dynamo-q
fig22	20251207082524_dynamo-deterministic_sc7.5-toB-cpsize4096-u0.9-qwen7b	49	qwen_traceB_blksz_16.jsonl	7.5	dynamo-q
fig21b	20251202161507_join-shortest-q-ttft_sc5.0-toB-bs4096-u0.9	50	qwen_traceB_blksz_16.jsonl	5.5	dynamo-decoupled-q
fig22	20251207001349_join-shortest-q-ttft_sc5.5-toB-cpsize4096-u0.9-qwen7b	50	qwen_traceB_blksz_16.jsonl	5.5	dynamo-decoupled-q
fig22	20251207023443_join-shortest-q-ttft_sc6.0-toB-cpsize4096-u0.9-qwen7b	51	qwen_traceB_blksz_16.jsonl	6.0	dynamo-decoupled-q
fig22	20251207045210_join-shortest-q-ttft_sc6.5-toB-cpsize4096-u0.9-qwen7b	52	qwen_traceB_blksz_16.jsonl	6.5	dynamo-decoupled-q
fig22	20251207070511_join-shortest-q-ttft_sc7.0-toB-cpsize4096-u0.9-qwen7b	53	qwen_traceB_blksz_16.jsonl	7.0	dynamo-decoupled-q
fig22	20251207092059_join-shortest-q-ttft_sc7.5-toB-cpsize4096-u0.9-qwen7b	54	qwen_traceB_blksz_16.jsonl	7.5	dynamo-decoupled-q
fig21b	20251202004016_bailian-impl-06_sc5.0-toB-bs4096-u0.9	60	qwen_traceB_blksz_16.jsonl	5.5	bailian-impl-q
fig22	20251211014117_bailian-impl-055-deterministic_sc5.5-toB-cpsize4096-u0.9-qwen30b-fixbailian	60	qwen_traceB_blksz_16.jsonl	5.5	bailian-impl-q
fig22	20251211020912_bailian-impl-055-deterministic_sc6.0-toB-cpsize4096-u0.9-qwen30b-fixbailian	61	qwen_traceB_blksz_16.jsonl	6.0	bailian-impl-q
fig22	20251211023642_bailian-impl-055-deterministic_sc6.5-toB-cpsize4096-u0.9-qwen30b-fixbailian	62	qwen_traceB_blksz_16.jsonl	6.5	bailian-impl-q
fig22	20251211030327_bailian-impl-055-deterministic_sc7.0-toB-cpsize4096-u0.9-qwen30b-fixbailian	63	qwen_traceB_blksz_16.jsonl	7.0	bailian-impl-q
fig22	20251211032958_bailian-impl-055-deterministic_sc7.5-toB-cpsize4096-u0.9-qwen30b-fixbailian	64	qwen_traceB_blksz_16.jsonl	7.5	bailian-impl-q
fig21b	20251202171750_join-shortest-q-weight_sc5.0-toB-bs4096-u0.9	65	qwen_traceB_blksz_16.jsonl	5.5	join-shortest-q-weight
fig22	20251206222227_join-shortest-q-weight_sc5.5-toB-cpsize4096-u0.9-qwen7b	65	qwen_traceB_blksz_16.jsonl	5.5	join-shortest-q-weight
